"date","cheveux","age","exp","salaire","sexe","diplome","specialite","note","dispo","embauche","annee","mois","jour","age_Q","exp_Q","note_Q","salaire_Q","age_D","note_D","salaire_D"
2010-01-01,"brun",50,12,23843,"M","doctorat","geologie",109.48,"oui","0","2010",1,1,"[42-65[","[9-12[","[87-144[","[14128-31591[","[47-65[","[98-144[","[14128-28534["
2010-01-01,"brun",40,15,38528,"F","bac","geologie",55.8,"non","0","2010",1,1,"[35-42[","[12-23[","[9-64[","[38348-53977[","[37-40[","[54-61[","[37615-39172["
2010-01-01,"brun",40,9,32885,"M","master","geologie",92.62,"non","0","2010",1,1,"[35-42[","[7-9[","[87-144[","[31591-34964[","[37-40[","[90-98[","[32344-33694["
2010-01-01,"roux",37,9,31905,"M","bac","geologie",72.8,"non","0","2010",1,1,"[35-42[","[7-9[","[64-76[","[31591-34964[","[35-37[","[71-76[","[30754-32344["
2010-01-02,"chatain",27,13,31505,"F","master","archeologie",88.33,"non","0","2010",1,2,"[18-30[","[12-23[","[87-144[","[14128-31591[","[24-28[","[85-90[","[30754-32344["
2010-01-02,"chatain",19,10,43902,"F","licence","detective",46.42,"oui","0","2010",1,2,"[18-30[","[9-12[","[9-64[","[38348-53977[","[18-24[","[9-54[","[41358-53977["
2010-01-02,"chatain",42,7,42400,"M","master","geologie",89.02,"oui","0","2010",1,2,"[35-42[","[0-7[","[87-144[","[38348-53977[","[40-43[","[85-90[","[41358-53977["
2010-01-02,"blond",28,14,43304,"M","licence","forage",76.22,"oui","0","2010",1,2,"[18-30[","[12-23[","[76-87[","[38348-53977[","[24-28[","[76-80[","[41358-53977["
2010-01-02,"chatain",24,10,40823,"M","master","geologie",61.18,"oui","0","2010",1,2,"[18-30[","[9-12[","[9-64[","[38348-53977[","[18-24[","[61-67[","[39172-41358["
2010-01-02,"chatain",43,11,40176,"M","doctorat","geologie",88.22,"oui","0","2010",1,2,"[42-65[","[9-12[","[87-144[","[38348-53977[","[40-43[","[85-90[","[39172-41358["
2010-01-02,"brun",35,8,45315,"M","licence","forage",76.8,"oui","0","2010",1,2,"[30-35[","[7-9[","[76-87[","[38348-53977[","[34-35[","[76-80[","[41358-53977["
2010-01-02,"brun",32,11,33160,"M","master","geologie",70.04,"non","0","2010",1,2,"[30-35[","[9-12[","[64-76[","[31591-34964[","[31-34[","[67-71[","[32344-33694["
2010-01-02,"blond",31,10,40061,"M","licence","detective",70.57,"oui","0","2010",1,2,"[30-35[","[9-12[","[64-76[","[38348-53977[","[28-31[","[67-71[","[39172-41358["
2010-01-02,"brun",22,10,43063,"M","bac","geologie",43.64,"non","0","2010",1,2,"[18-30[","[9-12[","[9-64[","[38348-53977[","[18-24[","[9-54[","[41358-53977["
2010-01-02,"chatain",33,7,39368,"F","master","archeologie",90.34,"oui","0","2010",1,2,"[30-35[","[0-7[","[87-144[","[38348-53977[","[31-34[","[90-98[","[39172-41358["
2010-01-02,"brun",21,5,25414,"F","master","geologie",107.99,"non","0","2010",1,2,"[18-30[","[0-7[","[87-144[","[14128-31591[","[18-24[","[98-144[","[14128-28534["
2010-01-02,"brun",48,5,32933,"M","master","forage",79.14,"oui","0","2010",1,2,"[42-65[","[0-7[","[76-87[","[31591-34964[","[47-65[","[76-80[","[32344-33694["
2010-01-03,"chatain",33,12,31814,"F","master","detective",65.6,"non","0","2010",1,3,"[30-35[","[9-12[","[64-76[","[31591-34964[","[31-34[","[61-67[","[30754-32344["
2010-01-03,"blond",44,7,34312,"M","licence","detective",86.18,"oui","0","2010",1,3,"[42-65[","[0-7[","[76-87[","[31591-34964[","[43-47[","[85-90[","[33694-34964["
2010-01-03,"brun",40,7,37772,"M","master","geologie",71.23,"oui","0","2010",1,3,"[35-42[","[0-7[","[64-76[","[34964-38348[","[37-40[","[71-76[","[37615-39172["
2010-01-03,"brun",25,8,36238,"M","master","detective",80.26,"oui","1","2010",1,3,"[18-30[","[7-9[","[76-87[","[34964-38348[","[24-28[","[80-85[","[36216-37615["
2010-01-03,"chatain",35,7,38163,"M","master","geologie",62.38,"non","0","2010",1,3,"[30-35[","[0-7[","[9-64[","[34964-38348[","[34-35[","[61-67[","[37615-39172["
2010-01-03,"brun",18,12,35782,"M","doctorat","geologie",69.7,"oui","1","2010",1,3,"[18-30[","[9-12[","[64-76[","[34964-38348[","[18-24[","[67-71[","[34964-36216["
2010-01-03,"blond",57,8,36607,"F","bac","geologie",58.94,"non","0","2010",1,3,"[42-65[","[7-9[","[9-64[","[34964-38348[","[47-65[","[54-61[","[36216-37615["
2010-01-03,"chatain",28,4,26495,"F","master","forage",73.7,"non","0","2010",1,3,"[18-30[","[0-7[","[64-76[","[14128-31591[","[24-28[","[71-76[","[14128-28534["
2010-01-03,"brun",35,8,34293,"M","master","geologie",75.62,"non","1","2010",1,3,"[30-35[","[7-9[","[76-87[","[31591-34964[","[34-35[","[76-80[","[33694-34964["
2010-01-03,"blond",45,10,36565,"M","bac","geologie",64.79,"non","0","2010",1,3,"[42-65[","[9-12[","[64-76[","[34964-38348[","[43-47[","[61-67[","[36216-37615["
2010-01-04,"brun",39,13,34632,"M","master","geologie",81.35,"non","0","2010",1,4,"[35-42[","[12-23[","[76-87[","[31591-34964[","[37-40[","[80-85[","[33694-34964["
2010-01-04,"chatain",35,15,36129,"F","master","geologie",89.35,"non","0","2010",1,4,"[30-35[","[12-23[","[87-144[","[34964-38348[","[34-35[","[85-90[","[34964-36216["
2010-01-04,"brun",35,5,36807,"M","master","forage",77.51,"oui","0","2010",1,4,"[30-35[","[0-7[","[76-87[","[34964-38348[","[34-35[","[76-80[","[36216-37615["
2010-01-04,"brun",40,2,35544,"M","doctorat","forage",96.06,"oui","0","2010",1,4,"[35-42[","[0-7[","[87-144[","[34964-38348[","[37-40[","[90-98[","[34964-36216["
2010-01-04,"chatain",40,13,33326,"M","master","geologie",58.55,"non","0","2010",1,4,"[35-42[","[12-23[","[9-64[","[31591-34964[","[37-40[","[54-61[","[32344-33694["
2010-01-04,"brun",39,8,40928,"M","licence","geologie",64.79,"non","0","2010",1,4,"[35-42[","[7-9[","[64-76[","[38348-53977[","[37-40[","[61-67[","[39172-41358["
2010-01-04,"brun",26,13,28552,"M","master","geologie",71.66,"non","0","2010",1,4,"[18-30[","[12-23[","[64-76[","[14128-31591[","[24-28[","[71-76[","[28534-30754["
2010-01-04,"roux",58,11,33930,"F","bac","forage",64.37,"non","0","2010",1,4,"[42-65[","[9-12[","[64-76[","[31591-34964[","[47-65[","[61-67[","[33694-34964["
2010-01-05,"brun",27,8,38914,"M","master","geologie",68.67,"oui","0","2010",1,5,"[18-30[","[7-9[","[64-76[","[38348-53977[","[24-28[","[67-71[","[37615-39172["
2010-01-05,"chatain",52,10,28599,"F","licence","archeologie",51.55,"non","1","2010",1,5,"[42-65[","[9-12[","[9-64[","[14128-31591[","[47-65[","[9-54[","[28534-30754["
2010-01-05,"roux",50,6,26485,"M","licence","geologie",91.71,"non","0","2010",1,5,"[42-65[","[0-7[","[87-144[","[14128-31591[","[47-65[","[90-98[","[14128-28534["
2010-01-05,"blond",24,10,26959,"M","doctorat","geologie",94.21,"oui","0","2010",1,5,"[18-30[","[9-12[","[87-144[","[14128-31591[","[18-24[","[90-98[","[14128-28534["
2010-01-05,"brun",47,11,44957,"F","bac","geologie",58.28,"non","0","2010",1,5,"[42-65[","[9-12[","[9-64[","[38348-53977[","[43-47[","[54-61[","[41358-53977["
2010-01-05,"roux",34,10,33544,"M","bac","geologie",81.34,"non","0","2010",1,5,"[30-35[","[9-12[","[76-87[","[31591-34964[","[31-34[","[80-85[","[32344-33694["
2010-01-05,"roux",42,10,35125,"M","master","forage",81.65,"oui","0","2010",1,5,"[35-42[","[9-12[","[76-87[","[34964-38348[","[40-43[","[80-85[","[34964-36216["
2010-01-06,"chatain",35,16,33681,"M","master","geologie",56.64,"non","0","2010",1,6,"[30-35[","[12-23[","[9-64[","[31591-34964[","[34-35[","[54-61[","[32344-33694["
2010-01-06,"blond",35,10,39371,"M","licence","detective",75.63,"oui","0","2010",1,6,"[30-35[","[9-12[","[76-87[","[38348-53977[","[34-35[","[76-80[","[39172-41358["
2010-01-06,"blond",39,4,44458,"M","licence","detective",98.03,"oui","1","2010",1,6,"[35-42[","[0-7[","[87-144[","[38348-53977[","[37-40[","[98-144[","[41358-53977["
2010-01-06,"chatain",44,13,37430,"M","doctorat","forage",71.59,"oui","0","2010",1,6,"[42-65[","[12-23[","[64-76[","[34964-38348[","[43-47[","[71-76[","[36216-37615["
2010-01-06,"blond",43,12,38392,"M","bac","geologie",61.14,"non","0","2010",1,6,"[42-65[","[9-12[","[9-64[","[38348-53977[","[40-43[","[61-67[","[37615-39172["
2010-01-06,"brun",31,5,31369,"M","master","forage",74.65,"non","0","2010",1,6,"[30-35[","[0-7[","[64-76[","[14128-31591[","[28-31[","[71-76[","[30754-32344["
2010-01-06,"blond",42,11,26958,"F","master","detective",112.94,"oui","0","2010",1,6,"[35-42[","[9-12[","[87-144[","[14128-31591[","[40-43[","[98-144[","[14128-28534["
2010-01-06,"chatain",35,12,30602,"M","master","geologie",77.09,"non","0","2010",1,6,"[30-35[","[9-12[","[76-87[","[14128-31591[","[34-35[","[76-80[","[28534-30754["
2010-01-07,"roux",36,7,33999,"M","bac","geologie",71.46,"non","0","2010",1,7,"[35-42[","[0-7[","[64-76[","[31591-34964[","[35-37[","[71-76[","[33694-34964["
2010-01-07,"chatain",50,8,37310,"F","master","forage",82.28,"oui","0","2010",1,7,"[42-65[","[7-9[","[76-87[","[34964-38348[","[47-65[","[80-85[","[36216-37615["
2010-01-07,"brun",29,8,39262,"M","bac","geologie",52.23,"non","0","2010",1,7,"[18-30[","[7-9[","[9-64[","[38348-53977[","[28-31[","[9-54[","[39172-41358["
2010-01-07,"blond",34,13,27578,"M","master","geologie",106.43,"non","0","2010",1,7,"[30-35[","[12-23[","[87-144[","[14128-31591[","[31-34[","[98-144[","[14128-28534["
2010-01-07,"chatain",32,11,41097,"M","master","detective",61.36,"oui","0","2010",1,7,"[30-35[","[9-12[","[9-64[","[38348-53977[","[31-34[","[61-67[","[39172-41358["
2010-01-07,"chatain",44,12,29492,"F","master","geologie",71.37,"non","0","2010",1,7,"[42-65[","[9-12[","[64-76[","[14128-31591[","[43-47[","[71-76[","[28534-30754["
2010-01-07,"blond",47,15,32418,"F","master","archeologie",119.43,"oui","0","2010",1,7,"[42-65[","[12-23[","[87-144[","[31591-34964[","[43-47[","[98-144[","[32344-33694["
2010-01-08,"brun",43,10,40085,"M","licence","geologie",28.82,"non","0","2010",1,8,"[42-65[","[9-12[","[9-64[","[38348-53977[","[40-43[","[9-54[","[39172-41358["
2010-01-08,"chatain",33,10,36930,"M","doctorat","forage",61.99,"oui","0","2010",1,8,"[30-35[","[9-12[","[9-64[","[34964-38348[","[31-34[","[61-67[","[36216-37615["
2010-01-08,"blond",34,3,30075,"F","master","archeologie",103.41,"oui","0","2010",1,8,"[30-35[","[0-7[","[87-144[","[14128-31591[","[31-34[","[98-144[","[28534-30754["
2010-01-08,"brun",29,2,35109,"F","master","detective",78.66,"oui","0","2010",1,8,"[18-30[","[0-7[","[76-87[","[34964-38348[","[28-31[","[76-80[","[34964-36216["
2010-01-08,"brun",37,13,39835,"M","licence","geologie",72.37,"non","0","2010",1,8,"[35-42[","[12-23[","[64-76[","[38348-53977[","[35-37[","[71-76[","[39172-41358["
2010-01-08,"brun",21,13,32860,"M","master","geologie",55.95,"non","0","2010",1,8,"[18-30[","[12-23[","[9-64[","[31591-34964[","[18-24[","[54-61[","[32344-33694["
2010-01-08,"blond",34,4,34760,"M","master","forage",62.62,"oui","0","2010",1,8,"[30-35[","[0-7[","[9-64[","[31591-34964[","[31-34[","[61-67[","[33694-34964["
2010-01-08,"blond",30,8,30601,"M","master","geologie",70.26,"non","0","2010",1,8,"[18-30[","[7-9[","[64-76[","[14128-31591[","[28-31[","[67-71[","[28534-30754["
2010-01-08,"brun",49,12,26948,"F","licence","geologie",79.42,"non","0","2010",1,8,"[42-65[","[9-12[","[76-87[","[14128-31591[","[47-65[","[80-85[","[14128-28534["
2010-01-08,"chatain",31,17,36628,"F","licence","detective",54.23,"non","1","2010",1,8,"[30-35[","[12-23[","[9-64[","[34964-38348[","[28-31[","[54-61[","[36216-37615["
2010-01-09,"brun",36,15,36781,"F","licence","detective",61.84,"non","0","2010",1,9,"[35-42[","[12-23[","[9-64[","[34964-38348[","[35-37[","[61-67[","[36216-37615["
2010-01-09,"chatain",40,9,37932,"M","master","geologie",79.4,"oui","0","2010",1,9,"[35-42[","[7-9[","[76-87[","[34964-38348[","[37-40[","[80-85[","[37615-39172["
2010-01-09,"chatain",39,14,38150,"F","master","archeologie",99.25,"oui","0","2010",1,9,"[35-42[","[12-23[","[87-144[","[34964-38348[","[37-40[","[98-144[","[37615-39172["
2010-01-09,"roux",30,7,29426,"M","master","geologie",80.26,"oui","0","2010",1,9,"[18-30[","[0-7[","[76-87[","[14128-31591[","[28-31[","[80-85[","[28534-30754["
2010-01-09,"brun",47,6,35642,"M","master","geologie",67.66,"non","0","2010",1,9,"[42-65[","[0-7[","[64-76[","[34964-38348[","[43-47[","[67-71[","[34964-36216["
2010-01-09,"chatain",27,8,32635,"F","master","forage",47.26,"non","1","2010",1,9,"[18-30[","[7-9[","[9-64[","[31591-34964[","[24-28[","[9-54[","[32344-33694["
2010-01-09,"blond",34,16,26579,"M","licence","geologie",79.97,"non","1","2010",1,9,"[30-35[","[12-23[","[76-87[","[14128-31591[","[31-34[","[80-85[","[14128-28534["
2010-01-10,"brun",34,7,34074,"F","licence","detective",61.85,"non","0","2010",1,10,"[30-35[","[0-7[","[9-64[","[31591-34964[","[31-34[","[61-67[","[33694-34964["
2010-01-10,"chatain",24,10,37354,"F","master","detective",88.63,"oui","0","2010",1,10,"[18-30[","[9-12[","[87-144[","[34964-38348[","[18-24[","[85-90[","[36216-37615["
2010-01-10,"brun",24,6,44932,"M","bac","geologie",26.51,"non","0","2010",1,10,"[18-30[","[0-7[","[9-64[","[38348-53977[","[18-24[","[9-54[","[41358-53977["
2010-01-10,"roux",38,12,36975,"M","licence","forage",34.52,"non","0","2010",1,10,"[35-42[","[9-12[","[9-64[","[34964-38348[","[37-40[","[9-54[","[36216-37615["
2010-01-10,"chatain",53,9,38954,"M","licence","geologie",50.3,"non","0","2010",1,10,"[42-65[","[7-9[","[9-64[","[38348-53977[","[47-65[","[9-54[","[37615-39172["
2010-01-10,"chatain",44,11,34529,"M","master","geologie",70.39,"oui","0","2010",1,10,"[42-65[","[9-12[","[64-76[","[31591-34964[","[43-47[","[67-71[","[33694-34964["
2010-01-10,"chatain",20,8,41043,"F","master","detective",79.4,"oui","0","2010",1,10,"[18-30[","[7-9[","[76-87[","[38348-53977[","[18-24[","[80-85[","[39172-41358["
2010-01-10,"brun",41,8,43969,"F","bac","forage",75.31,"non","0","2010",1,10,"[35-42[","[7-9[","[76-87[","[38348-53977[","[40-43[","[76-80[","[41358-53977["
2010-01-10,"chatain",26,9,43161,"M","doctorat","geologie",94.22,"oui","0","2010",1,10,"[18-30[","[7-9[","[87-144[","[38348-53977[","[24-28[","[90-98[","[41358-53977["
2010-01-10,"chatain",45,9,29137,"M","master","geologie",82.92,"non","0","2010",1,10,"[42-65[","[7-9[","[76-87[","[14128-31591[","[43-47[","[80-85[","[28534-30754["
2010-01-11,"brun",41,16,35438,"F","master","detective",89.32,"oui","0","2010",1,11,"[35-42[","[12-23[","[87-144[","[34964-38348[","[40-43[","[85-90[","[34964-36216["
2010-01-11,"brun",37,9,33582,"F","licence","geologie",91.49,"non","0","2010",1,11,"[35-42[","[7-9[","[87-144[","[31591-34964[","[35-37[","[90-98[","[32344-33694["
2010-01-11,"blond",27,7,29555,"M","licence","geologie",64.89,"non","0","2010",1,11,"[18-30[","[0-7[","[64-76[","[14128-31591[","[24-28[","[61-67[","[28534-30754["
2010-01-11,"blond",33,7,49818,"M","bac","forage",36.31,"non","0","2010",1,11,"[30-35[","[0-7[","[9-64[","[38348-53977[","[31-34[","[9-54[","[41358-53977["
2010-01-11,"chatain",39,7,38562,"F","licence","geologie",95.02,"non","0","2010",1,11,"[35-42[","[0-7[","[87-144[","[38348-53977[","[37-40[","[90-98[","[37615-39172["
2010-01-12,"brun",36,6,37167,"M","master","forage",70.21,"oui","0","2010",1,12,"[35-42[","[0-7[","[64-76[","[34964-38348[","[35-37[","[67-71[","[36216-37615["
2010-01-12,"chatain",23,12,38821,"M","master","geologie",64.58,"non","0","2010",1,12,"[18-30[","[9-12[","[64-76[","[38348-53977[","[18-24[","[61-67[","[37615-39172["
2010-01-12,"brun",39,12,37996,"M","licence","forage",63.53,"non","0","2010",1,12,"[35-42[","[9-12[","[9-64[","[34964-38348[","[37-40[","[61-67[","[37615-39172["
2010-01-12,"brun",39,5,33357,"M","master","geologie",80.12,"non","0","2010",1,12,"[35-42[","[0-7[","[76-87[","[31591-34964[","[37-40[","[80-85[","[32344-33694["
2010-01-12,"blond",36,7,31845,"F","bac","geologie",72.31,"non","0","2010",1,12,"[35-42[","[0-7[","[64-76[","[31591-34964[","[35-37[","[71-76[","[30754-32344["
2010-01-12,"blond",37,11,34629,"M","licence","geologie",76.87,"non","0","2010",1,12,"[35-42[","[9-12[","[76-87[","[31591-34964[","[35-37[","[76-80[","[33694-34964["
2010-01-12,"chatain",31,8,30662,"M","master","geologie",74.51,"non","0","2010",1,12,"[30-35[","[7-9[","[64-76[","[14128-31591[","[28-31[","[71-76[","[28534-30754["
2010-01-13,"blond",23,9,29569,"M","master","forage",89.78,"oui","0","2010",1,13,"[18-30[","[7-9[","[87-144[","[14128-31591[","[18-24[","[90-98[","[28534-30754["
2010-01-13,"chatain",42,9,28677,"M","doctorat","archeologie",119.09,"oui","0","2010",1,13,"[35-42[","[7-9[","[87-144[","[14128-31591[","[40-43[","[98-144[","[28534-30754["
2010-01-13,"blond",46,11,34640,"F","licence","forage",76.73,"non","0","2010",1,13,"[42-65[","[9-12[","[76-87[","[31591-34964[","[43-47[","[76-80[","[33694-34964["
2010-01-13,"blond",27,7,28014,"M","master","geologie",89.46,"non","0","2010",1,13,"[18-30[","[0-7[","[87-144[","[14128-31591[","[24-28[","[85-90[","[14128-28534["
2010-01-13,"roux",24,8,34698,"M","licence","detective",87.27,"oui","0","2010",1,13,"[18-30[","[7-9[","[87-144[","[31591-34964[","[18-24[","[85-90[","[33694-34964["
2010-01-13,"roux",41,11,25119,"M","licence","geologie",71.92,"non","0","2010",1,13,"[35-42[","[9-12[","[64-76[","[14128-31591[","[40-43[","[71-76[","[14128-28534["
2010-01-13,"brun",33,10,31173,"F","licence","geologie",69.81,"non","0","2010",1,13,"[30-35[","[9-12[","[64-76[","[14128-31591[","[31-34[","[67-71[","[30754-32344["
2010-01-13,"blond",38,14,29482,"M","doctorat","geologie",87.49,"oui","0","2010",1,13,"[35-42[","[12-23[","[87-144[","[14128-31591[","[37-40[","[85-90[","[28534-30754["
2010-01-13,"roux",38,6,31726,"M","licence","geologie",90.49,"non","0","2010",1,13,"[35-42[","[0-7[","[87-144[","[31591-34964[","[37-40[","[90-98[","[30754-32344["
2010-01-13,"chatain",23,11,38229,"F","doctorat","detective",95.01,"oui","0","2010",1,13,"[18-30[","[9-12[","[87-144[","[34964-38348[","[18-24[","[90-98[","[37615-39172["
2010-01-13,"chatain",36,8,35467,"F","master","detective",69.32,"oui","0","2010",1,13,"[35-42[","[7-9[","[64-76[","[34964-38348[","[35-37[","[67-71[","[34964-36216["
2010-01-14,"blond",40,10,31819,"M","master","detective",90.89,"oui","0","2010",1,14,"[35-42[","[9-12[","[87-144[","[31591-34964[","[37-40[","[90-98[","[30754-32344["
2010-01-14,"blond",46,10,43460,"M","licence","forage",61.62,"oui","0","2010",1,14,"[42-65[","[9-12[","[9-64[","[38348-53977[","[43-47[","[61-67[","[41358-53977["
2010-01-14,"blond",27,8,34552,"F","licence","archeologie",93.81,"oui","0","2010",1,14,"[18-30[","[7-9[","[87-144[","[31591-34964[","[24-28[","[90-98[","[33694-34964["
2010-01-14,"blond",39,7,40813,"M","licence","archeologie",94.68,"oui","1","2010",1,14,"[35-42[","[0-7[","[87-144[","[38348-53977[","[37-40[","[90-98[","[39172-41358["
2010-01-14,"chatain",35,8,41210,"M","doctorat","detective",71.29,"oui","0","2010",1,14,"[30-35[","[7-9[","[64-76[","[38348-53977[","[34-35[","[71-76[","[39172-41358["
2010-01-14,"blond",19,6,42002,"M","licence","geologie",83.8,"oui","1","2010",1,14,"[18-30[","[0-7[","[76-87[","[38348-53977[","[18-24[","[80-85[","[41358-53977["
2010-01-14,"chatain",37,8,33384,"F","doctorat","archeologie",102.78,"oui","0","2010",1,14,"[35-42[","[7-9[","[87-144[","[31591-34964[","[35-37[","[98-144[","[32344-33694["
2010-01-14,"roux",43,10,33611,"M","licence","geologie",84.21,"non","0","2010",1,14,"[42-65[","[9-12[","[76-87[","[31591-34964[","[40-43[","[85-90[","[32344-33694["
2010-01-14,"roux",30,13,42972,"M","bac","geologie",89.16,"oui","0","2010",1,14,"[18-30[","[12-23[","[87-144[","[38348-53977[","[28-31[","[85-90[","[41358-53977["
2010-01-14,"chatain",50,8,43044,"M","master","forage",67.88,"oui","0","2010",1,14,"[42-65[","[7-9[","[64-76[","[38348-53977[","[47-65[","[67-71[","[41358-53977["
2010-01-14,"roux",25,12,32598,"M","bac","forage",64.25,"non","0","2010",1,14,"[18-30[","[9-12[","[64-76[","[31591-34964[","[24-28[","[61-67[","[32344-33694["
2010-01-14,"brun",43,4,35348,"M","master","geologie",80.72,"oui","0","2010",1,14,"[42-65[","[0-7[","[76-87[","[34964-38348[","[40-43[","[80-85[","[34964-36216["
2010-01-14,"chatain",38,10,26746,"F","doctorat","forage",89.71,"oui","0","2010",1,14,"[35-42[","[9-12[","[87-144[","[14128-31591[","[37-40[","[90-98[","[14128-28534["
2010-01-15,"brun",31,12,48484,"M","bac","geologie",24.26,"non","0","2010",1,15,"[30-35[","[9-12[","[9-64[","[38348-53977[","[28-31[","[9-54[","[41358-53977["
2010-01-15,"blond",22,12,30345,"M","master","forage",74.17,"oui","0","2010",1,15,"[18-30[","[9-12[","[64-76[","[14128-31591[","[18-24[","[71-76[","[28534-30754["
2010-01-15,"roux",43,13,40895,"F","bac","forage",62.47,"non","0","2010",1,15,"[42-65[","[12-23[","[9-64[","[38348-53977[","[40-43[","[61-67[","[39172-41358["
2010-01-15,"chatain",52,13,35887,"F","master","forage",73.04,"non","0","2010",1,15,"[42-65[","[12-23[","[64-76[","[34964-38348[","[47-65[","[71-76[","[34964-36216["
2010-01-15,"chatain",29,13,32423,"F","licence","geologie",53.48,"non","0","2010",1,15,"[18-30[","[12-23[","[9-64[","[31591-34964[","[28-31[","[54-61[","[32344-33694["
2010-01-15,"chatain",41,9,33357,"F","doctorat","detective",106.2,"oui","0","2010",1,15,"[35-42[","[7-9[","[87-144[","[31591-34964[","[40-43[","[98-144[","[32344-33694["
2010-01-15,"chatain",32,5,45166,"M","licence","geologie",65.07,"non","0","2010",1,15,"[30-35[","[0-7[","[64-76[","[38348-53977[","[31-34[","[61-67[","[41358-53977["
2010-01-15,"brun",41,7,33055,"F","licence","geologie",90.26,"non","0","2010",1,15,"[35-42[","[0-7[","[87-144[","[31591-34964[","[40-43[","[90-98[","[32344-33694["
2010-01-15,"brun",19,11,23512,"M","master","geologie",76.78,"non","0","2010",1,15,"[18-30[","[9-12[","[76-87[","[14128-31591[","[18-24[","[76-80[","[14128-28534["
2010-01-15,"roux",36,9,34798,"M","licence","forage",76.62,"non","0","2010",1,15,"[35-42[","[7-9[","[76-87[","[31591-34964[","[35-37[","[76-80[","[33694-34964["
2010-01-15,"brun",30,5,36406,"M","master","geologie",77.82,"oui","1","2010",1,15,"[18-30[","[0-7[","[76-87[","[34964-38348[","[28-31[","[76-80[","[36216-37615["
2010-01-15,"chatain",25,12,38152,"M","master","geologie",67.58,"non","0","2010",1,15,"[18-30[","[9-12[","[64-76[","[34964-38348[","[24-28[","[67-71[","[37615-39172["
2010-01-15,"chatain",45,5,34201,"F","licence","geologie",82.2,"non","0","2010",1,15,"[42-65[","[0-7[","[76-87[","[31591-34964[","[43-47[","[80-85[","[33694-34964["
2010-01-15,"roux",35,14,35721,"M","licence","geologie",86.91,"oui","0","2010",1,15,"[30-35[","[12-23[","[87-144[","[34964-38348[","[34-35[","[85-90[","[34964-36216["
2010-01-15,"chatain",27,5,38696,"M","master","geologie",65.69,"oui","0","2010",1,15,"[18-30[","[0-7[","[64-76[","[38348-53977[","[24-28[","[61-67[","[37615-39172["
2010-01-15,"roux",44,9,29339,"M","master","detective",85.15,"oui","0","2010",1,15,"[42-65[","[7-9[","[76-87[","[14128-31591[","[43-47[","[85-90[","[28534-30754["
2010-01-16,"brun",34,3,34257,"F","master","detective",76.92,"non","0","2010",1,16,"[30-35[","[0-7[","[76-87[","[31591-34964[","[31-34[","[76-80[","[33694-34964["
2010-01-16,"brun",32,7,35838,"F","licence","geologie",80.17,"non","0","2010",1,16,"[30-35[","[0-7[","[76-87[","[34964-38348[","[31-34[","[80-85[","[34964-36216["
2010-01-16,"blond",21,8,36984,"F","licence","detective",63.48,"non","0","2010",1,16,"[18-30[","[7-9[","[9-64[","[34964-38348[","[18-24[","[61-67[","[36216-37615["
2010-01-16,"chatain",40,13,38820,"M","master","geologie",79.51,"non","0","2010",1,16,"[35-42[","[12-23[","[76-87[","[38348-53977[","[37-40[","[80-85[","[37615-39172["
